"No","Nama Entitas/Produk","Jenis Dokumen","Tautan Sumber"
"32","Kantin IGM Palembang","Sertifikat Halal","https://pdfs.semanticscholar.org/591e/fda889144f7f9da2da5bc651ebc0357bebc1.pdf"
"33","Café Kopi Loer Palembang","Sertifikat Halal","https://pdfs.semanticscholar.org/591e/fda889144f7f9da2da5bc651ebc0357bebc1.pdf"
"34","Yuhandika Yusuf (Cookies Centing)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"35","Mujiati (Keripik Tempe Mbx Mujizie)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"36","Leni Nurhasanah (Jasmine Cake)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"37","Wahyuni Endriyani (Arum Cake n Cookies)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"38","Zainal (Bintang Rasa)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"39","Kartini (Pawon Echo Cookies)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"40","Isti Qomah (IQ Kuliner)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"41","Partini (Intep Karya Mandiri)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"42","Syaichul Azazudin (Sambel Pecel Ndeso)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"43","Nelza Fitriani (Cemilan Abid)","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"44","Anatus Meda Wati","Sertifikat Halal","https://satudata.bungokab.go.id/bks/DataUMKMsertifikathalal2023_TzBqZ3pGUWdLR3g3OEh2SDg5RFk4Zz09_a0Q5R1hSWVdzcGpCa2htTm16SFJiZz09_bks1.pdf"
"45","Pempek Halal ""Pelakor""","Sertifikat Halal","https://id.scribd.com/document/741457576/BBI-Sumsel-Form-Kehadiran-KickOff-Responses-Sheet2"
"46","Bakpao Wepao","Sertifikat Halal","https://id.scribd.com/document/598054912/Bakpao-Wepao-profil-ikm"
"47","Poklahsar Rumah Lele Athallah","Sertifikat Halal","https://logista.fateta.unand.ac.id/index.php/logista/article/download/1172/421"
"48","Kopi Kenangan","Sertifikat Halal","https://halalmui.org/wp-content/uploads/2024/01/165.pdf"
"49","PT Multi Medika Internasional Tbk","Sertifikat Halal","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202406/6cd19b0029_f4030bb805.pdf"
"50","Produk Wall's Conello","Sertifikat Halal","https://pdfs.semanticscholar.org/a505/1603951ef98055fa94ad94ddf042123b49fe.pdf"
